Title,Date,Creator,Identifier,Recipient,Gender of Author,Age of Author,Identified People,Unidentified People,Subject,Geographic Subjects,Place Of Origin,Destination,Notes,Language,Transcript,Reference URL,CONTENTdm number,CONTENTdm file name
1906 March 13thCOMMA AwburyCOMMA to My dear Chellie,1906-03-13,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,hsc4067,EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939,F,80-90,CopeCOMMA Francis ReeveCOMMA 1821-1909; CopeCOMMA Thomas P. (Thomas Pim)COMMA 1852-1944; StorkCOMMA Anna Brown CopeCOMMA b. 1862; StorkCOMMA Theophilus Baker; CopeCOMMA Evelyn Flower MorrisCOMMA 1877-1947; StarrCOMMA Mary Williams; StarrCOMMA EdwardCOMMA 1844-1914; GarrettCOMMA Elizabeth Waln CopeCOMMA 1841-1931; FoulkCOMMA Frances Biddle GarrettCOMMA 1866-1938; AldersonCOMMA Eleanor Tyson Yarnall; EvansCOMMA JonathanCOMMA 1843-1911; EvansCOMMA HaroldCOMMA 1886-1977,Miss Swigant; Dr. Starn; Nannie Scott; Margaret; Mary Richardson,Weather; Family; Saint Patrick's Day; Voyages and travels; Older people--Diseases; Boardinghouses,Atlantic City (N.J.),Awbury (PhiladelphiaCOMMA Pa.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14381,14381,12512.cpd
1887 August 17COMMA PhiladelphiaCOMMA to My dear wife,1887-08-17,EvansCOMMA JonathanCOMMA 1843-1911,hsc2178,EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939,M,40-50,StorkCOMMA Anna Brown CopeCOMMA b. 1862; StokesCOMMA Katharine Wistar EvansCOMMA 1841-1904; CopeCOMMA E. D. (Edward Drinker)COMMA 1840-1897; LewisCOMMA Caroline Mary CopeCOMMA 1865-1953,Henry; Cleaner,Railroad travel; Postal service; Boats,Philadelphia (Pa.),Philadelphia (Pa.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14388,14388,12519.cpd
1906 March 5COMMA AwburyCOMMA to My dear Chellie,1906-03-05,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,hsc4066,EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939,F,80-90,CopeCOMMA Francis ReeveCOMMA 1821-1909; LewisCOMMA Caroline Mary CopeCOMMA 1865-1953; LewisCOMMA William DraperCOMMA Jr.; CopeCOMMA Francis HazenCOMMA 1859-1909; EmlenCOMMA Marion Hartshorne HainesCOMMA 1880-1936; EmlenCOMMA John; EvansCOMMA Francis AlgernonCOMMA 1878-1946,CopeCOMMA Francis ReeveCOMMA Jr.; HartshorneCOMMA George; Sam; BrownCOMMA Jay (d. 1906); Jay Brown's mother,Weddings; Death,New York (N.Y.); Nashville (Tenn.),Awbury (PhiladelphiaCOMMA Pa.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14393,14393,12524.cpd
1887 August 18COMMA PhiladelphiaCOMMA to My own dear wife,1887-08-18,EvansCOMMA JonathanCOMMA 1843-1911,hsc2179,EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939,M,40-50,StokesCOMMA Katharine Wistar EvansCOMMA 1841-1904; EvansCOMMA Hannah BaconCOMMA 1839-1939; CopeCOMMA WalterCOMMA 1861-1902; CopeCOMMA Thomas PimCOMMA 1823-1900; YarnallCOMMA Mary; CopeCOMMA Francis HazenCOMMA 1859-1909; CopeCOMMA Margaret Cheston TatnallCOMMA b. 1859; ComfortCOMMA EdwardCOMMA b. 1858; CopeCOMMA Elizabeth Waln StokesCOMMA 1823-1902,John,Weather; Meetings; Dysentery; Health,Philadelphia (Pa.); Maryland; Berkshire (Mass.),Philadelphia (Pa.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14398,14398,12529.cpd
1887 August 19COMMA PhiladelphiaCOMMA to My dear wife,1887-08-19,EvansCOMMA JonathanCOMMA 1843-1911,hsc2180,EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939,M,40-50,StokesCOMMA Katharine Wistar EvansCOMMA 1841-1904; EvansCOMMA Hannah BaconCOMMA 1839-1939; CopeCOMMA Margaret Cheston TatnallCOMMA b. 1859; CopeCOMMA Thomas PimCOMMA 1823-1900; CopeCOMMA AlfredCOMMA 1857-1897; YarnallCOMMA Mary; ScullCOMMA DavidCOMMA 1836-1907; ComfortCOMMA EdwardCOMMA b. 1858,Grandpa,Weather; Health; Tea; Dinners and dining; Voyages and travels; Dysentery; Painting,Philadelphia (Pa.); Newport (R.I.); Wynnedown; Maryland,Philadelphia (Pa.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14403,14403,12534.cpd
1858 July 9COMMA Surf HouseCOMMA to Son,1858-07-09,CopeCOMMA HenryCOMMA 1793-1865,hsc0269,CopeCOMMA Francis ReeveCOMMA 1821-1909,M,60-70,CopeCOMMA Francis ReeveCOMMA 1821-1909; CopeCOMMA Thomas PimCOMMA 1823-1900; EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939,,Family-owned business enterprises; Shipping; Weather; Grandparent and child; Letter writing; Maritime law; Liability (Law),Europe,Surf House,Europe,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14423,14423,12554.cpd
1849 October 20COMMA MuncyCOMMA to AnnaCOMMA PhiladelphiaCOMMA Pa.,1849-10-20,CopeCOMMA HenryCOMMA 1793-1865,hsc0268,CopeCOMMA RuthannaCOMMA 1834-1879,M,50-60,CopeCOMMA RuthannaCOMMA 1834-1879; CopeCOMMA Francis ReeveCOMMA 1821-1909; CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,,Voyages and Travels; Nature; Society of Friends; Weather; God,Muncy (Pa.); Philadelphia (Pa.),Muncy (Pa.),Philadelphia (Pa.),,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14428,14428,12559.cpd
1847 November 11COMMA New GardenCOMMA to FrancisCOMMA Philadelphia,1847-11-11,CopeCOMMA HenryCOMMA 1793-1865,hsc0264,CopeCOMMA Francis ReeveCOMMA 1821-1909,M,50-60,CopeCOMMA William D. (William Drinker)COMMA 1798-1873,Saml. Allison,Society of Friends; Health; Weather,New Garden (Pa. : Township); Philadelphia (Pa.),New Garden (Pa. : Township),Philadelphia (Pa.),,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14433,14433,12564.cpd
1844 July 21COMMA Cape MayCOMMA to BrotherCOMMA PhiladelphiaCOMMA Pa.,1844-07-21,CopeCOMMA HenryCOMMA 1793-1865,hsc0263,CopeCOMMA AlfredCOMMA 1806-1875,M,50-60,CopeCOMMA AlfredCOMMA 1806-1875; CopeCOMMA Francis ReeveCOMMA 1821-1909; CopeCOMMA Rachel ReeveCOMMA 1794-1863; StocktonCOMMA Robert FieldCOMMA 1795-1866; ReeveCOMMA RuthCOMMA 1764-1845,Richard Williams; Anna Williams; Albert Tusley,Letter writing; Voyages and Travels; Transportation; Family-owned business enterprises; Shipping; Health; God; Breakwaters,Cape May (N.J.); Philadelphia (Pa.),Cape May (N.J.),Philadelphia (Pa.),,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14439,14439,12570.cpd
1841 August 2COMMA PhiladaCOMMA to FatherCOMMA West ChesterCOMMA Pa.,1841-08-02,CopeCOMMA HenryCOMMA 1793-1865,hsc0262,CopeCOMMA Thomas P. (Thomas Pim)COMMA 1768-1854,M,40-50,CopeCOMMA AlfredCOMMA 1806-1875; CopeCOMMA Francis ReeveCOMMA 1821-1909; EvansCOMMA Elizabeth BartonCOMMA 1794-1861; EvansCOMMA WilliamCOMMA 1787-1867; KiteCOMMA ThomasCOMMA 1785-1845; WistarCOMMA CasparCOMMA 1801-1867; ScullCOMMA DavidCOMMA 1797-1884; StokesCOMMA MaryCOMMA 1825-1847; CopeCOMMA Elizabeth W. (Elizabeth Stokes Waln)COMMA 1780-1852,Cousin Caleb; Davis Richards; Rachel Francis Thomas; Samuel Bittle; Mary Scull,Society of Friends; Death; Health; Cholera,Philadelphia (Pa.); West Chester (Pa.); London Grove (Pa. : Township),Philadelphia (Pa.),West Chester (Pa.),,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14444,14444,12575.cpd
1840 September 29COMMA PhiladaCOMMA to AlfredCOMMA London GroveCOMMA Chester Co.COMMA Pa.,1840-09-29,CopeCOMMA HenryCOMMA 1793-1865,hsc0261,CopeCOMMA AlfredCOMMA 1806-1875,M,40-50,CopeCOMMA AlfredCOMMA 1806-1875; CopeCOMMA Mary DrinkerCOMMA 1766-1825; DrinkerCOMMA Francis,R W Brown,Family-owned business enterprises; Shipping; Health,Philadelphia (Pa.),Philadelphia (Pa.),London Grove (Pa. : Township),,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14447,14447,12578.cpd
1837 October 26COMMA PhiladaCOMMA to FatherCOMMA Harrisburg,1837-10-26,CopeCOMMA HenryCOMMA 1793-1865,hsc0259,CopeCOMMA Thomas P. (Thomas Pim)COMMA 1768-1854,M,40-50,,Mitchell,Family-owned business enterprises; Shipping; Pirates,Philadelphia (Pa.),Philadelphia (Pa.),Harrisburg (Pa.),,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14452,14452,12583.cpd
1834 August 16COMMA PhiladaCOMMA to AlfredCOMMA Liverpool,1834-08-16,CopeCOMMA HenryCOMMA 1793-1865,hsc0258,CopeCOMMA AlfredCOMMA 1806-1875,M,40-50,CopeCOMMA AlfredCOMMA 1806-1875; CopeCOMMA William D. (William Drinker)COMMA 1798-1873; JacksonCOMMA AndrewCOMMA 1767-1845; CopeCOMMA Susan L. NewboldCOMMA 1805-1872,,Voyages and Travels; Health; Family-owned business enterprises; Shipping; Elections; Harvesting; United States. Congress,Liverpool (England); Philadelphia (Pa.); England,Philadelphia (Pa.),Liverpool (England),,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14457,14457,12588.cpd
1834 June 19COMMA PhiladaCOMMA to AlfredCOMMA London,1834-06-19,CopeCOMMA HenryCOMMA 1793-1865,hsc0257,CopeCOMMA AlfredCOMMA 1806-1875,M,40-50,CopeCOMMA AlfredCOMMA 1806-1875; CopeCOMMA RuthannaCOMMA 1834-1879; CopeCOMMA Elizabeth W. (Elizabeth Stokes Waln)COMMA 1780-1852; CopeCOMMA William D. (William Drinker)COMMA 1798-1873; CopeCOMMA Susan L. NewboldCOMMA 1805-1872; CopeCOMMA Mary DrinkerCOMMA 1766-1825,,Letter writing; Health; Nature; Family-owned business enterprises; Shipping; Weddings; Harvesting,London (England); Philadelphia (Pa.); New York (N.Y.); New Orleans (La.),Philadelphia (Pa.),London (England),,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14462,14462,12593.cpd
1834 March 10COMMA PhiladaCOMMA to AlfredCOMMA Madeira,1834-03-10,CopeCOMMA HenryCOMMA 1793-1865,hsc0256,CopeCOMMA AlfredCOMMA 1806-1875,M,40-50,CopeCOMMA AlfredCOMMA 1806-1875; CopeCOMMA Rachel ReeveCOMMA 1794-1863; CopeCOMMA RuthannaCOMMA 1834-1879; JacksonCOMMA AndrewCOMMA 1767-1845,,Shipping; Banks and banking; Public worship--Society of Friends; Bank of the United States (1816-1836); United States. Congress,Madeira Islands; Philadelphia (Pa.); Norfolk (Va.); Liverpool (England); Funchal (Madeira Islands),Philadelphia (Pa.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14468,14468,12599.cpd
1834 February 28COMMA PhiladaCOMMA to BrotherCOMMA Madeira Islands,1834-02-28,CopeCOMMA HenryCOMMA 1793-1865,hsc0255,CopeCOMMA AlfredCOMMA 1806-1875,M,40-50,CopeCOMMA AlfredCOMMA 1806-1875; CopeCOMMA Rachel ReeveCOMMA 1794-1863; CopeCOMMA RuthannaCOMMA 1834-1879; CopeCOMMA William D. (William Drinker)COMMA 1798-1873; CopeCOMMA Susan L. NewboldCOMMA 1805-1872,Capt. Dixey; Rebecca Thompson; Jane Bittle,Health; Childbirth; Shipping; Letter writing; Betrothal; Postal service; Spring; Bank of the United States (1816-1836); Pocahontas (Ship : 1821-1857),Philadelphia (Pa.); Baltimore (Md.); Madeira Islands,Philadelphia (Pa.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14474,14474,12605.cpd
1834 January 31COMMA PhiladaCOMMA to Brother,1834-01-31,CopeCOMMA HenryCOMMA 1793-1865,hsc0254,CopeCOMMA AlfredCOMMA 1806-1875,M,40-50,CopeCOMMA AlfredCOMMA 1806-1875; CopeCOMMA William D. (William Drinker)COMMA 1798-1873; JacksonCOMMA AndrewCOMMA 1767-1845; BrownCOMMA John A.COMMA 1788-1872; WelshCOMMA JohnCOMMA 1805-1886,,Shipping; Postal service; Health; Elizabeth (Brig); Montezuma (Ship); Bank of the United States (1816-1836),Philadelphia (Pa.); Madeira Islands; Liverpool (England); Bristol (Pa.),Philadelphia (Pa.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14479,14479,12610.cpd
1834 January 22COMMA PhiladaCOMMA to Brother,1834-01-22,CopeCOMMA HenryCOMMA 1793-1865,hsc0253,CopeCOMMA AlfredCOMMA 1806-1875,M,40-50,CopeCOMMA AlfredCOMMA 1806-1875; JacksonCOMMA AndrewCOMMA 1767-1845; CopeCOMMA William D. (William Drinker)COMMA 1798-1873; YarnallCOMMA CharlesCOMMA 1800-1877,Carpenter; Cousin Emma Cope,Shipping; Death; God; Bank of the United States (1816-1836); Marriage; Monetary policy--United States,Philadelphia (Pa.); Liverpool (England),Philadelphia (Pa.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14485,14485,12616.cpd
1829 August 25COMMA BostonCOMMA to Father,1829-08-25,CopeCOMMA HenryCOMMA 1793-1865,hsc0252,CopeCOMMA Thomas P. (Thomas Pim)COMMA 1768-1854,M,30-40,CopeCOMMA Thomas P. (Thomas Pim)COMMA 1768-1854; CopeCOMMA Rachel ReeveCOMMA 1794-1863; CopeCOMMA AlfredCOMMA 1806-1875,,Voyages and Travels; Nature; Society of Friends; Harvard University; Seashore; Steamboats; Wounds and injuries; Family-owned business enterprises,Boston (Mass.); HolyokeCOMMA Mount (Mass.); Northampton (Mass.); Nahant (Mass.); Lynn (Mass.),Boston (Mass.),,Entire letter copied in another hand.,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14491,14491,12622.cpd
1813 January 15COMMA PhiladaCOMMA to WilliamCOMMA New Garden Boarding School,1813-01-15,CopeCOMMA HenryCOMMA 1793-1865; CopeCOMMA Mary DrinkerCOMMA 1766-1825,hsc0249,CopeCOMMA William D. (William Drinker)COMMA 1798-1873,M;F,20-30; 40-50,CopeCOMMA William D. (William Drinker)COMMA 1798-1873; WaltonCOMMA JosephCOMMA 1785-1853,,Shipping; Spirituality; United States. Act laying an embargo on all ships and vessels in the ports and harbors of the United States for a limited time,Philadelphia (Pa.); England; Havana (Cuba),Philadelphia (Pa.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14499,14499,12630.cpd
1812 December 26COMMA PhiladaCOMMA to WilliamCOMMA New Garden Boarding School,1812-12-26,CopeCOMMA HenryCOMMA 1793-1865; CopeCOMMA Mary DrinkerCOMMA 1766-1825,hsc0248,CopeCOMMA William D. (William Drinker)COMMA 1798-1873,M; F,20-30; 40-50,,,Clothing and dress; Mathematics--Study and teaching; Perpetual motion; United States--History--War of 1812,Philadelphia (Pa.); England; France,Philadelphia (Pa.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14506,14506,12637.cpd
1887 July 31COMMA AwburyCOMMA to Anna,1887-07-31,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc0242,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,M,60-70,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916; CopeCOMMA Thomas P. (Thomas Pim)COMMA 1852-1944; CopeCOMMA Francis HazenCOMMA 1859-1909; CopeCOMMA AlfredCOMMA 1857-1897; CopeCOMMA MargaretCOMMA 1856-1948,Emlen Pleasant,Weather; Funeral service--Society of Friends,Germantown (PhiladelphiaCOMMA Pa.); New York (N.Y.); Cape May (N.J.); Awbury (PhiladelphiaCOMMA Pa.),Germantown (PhiladelphiaCOMMA Pa.),,Carrew Co. watermark.,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14510,14510,12641.cpd
1887 July 24COMMA AwburyCOMMA to Anna,1887-07-24,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc0241,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,M,60-70,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916; CopeCOMMA AlfredCOMMA 1857-1897; CopeCOMMA Thomas P. (Thomas Pim)COMMA 1852-1944; EvansCOMMA JonathanCOMMA 1843-1911,Carrie Casey,Railroad travel; Weather; Postal service; Water harvesting,Germantown (PhiladelphiaCOMMA Pa.); Pennsylvania,Germantown (PhiladelphiaCOMMA Pa.),,Carrew Co. watermark.,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14515,14515,12646.cpd
1887 July 18COMMA WoodbourneCOMMA to Tom,1887-07-18,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc0240,CopeCOMMA Thomas P. (Thomas Pim)COMMA 1852-1944,M,60-70,CopeCOMMA Thomas P. (Thomas Pim)COMMA 1852-1944; CopeCOMMA EdgarCOMMA 1838-1895; CopeCOMMA Alexis T. (Alexis Thomas)COMMA 1850-1883,Mr. Hay; W.H. Jessup Jr.,Collecting of accounts; Dwellings--Maintenance and repair,Maryland,Woodbourne (Susquehanna CountyCOMMA Pa.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14522,14522,12653.cpd
1887 July 15COMMA WoodbourneCOMMA to Anna,1887-07-15,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc0239,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,M,60-70,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916; CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937; StorkCOMMA Anna Brown CopeCOMMA b. 1862; CopeCOMMA AgnesCOMMA 1876-1899,,Health,Newport (R.I.),Woodbourne (Susquehanna CountyCOMMA Pa.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14527,14527,12658.cpd
1887 July 13COMMA WoodbourneCOMMA to Anna,1887-07-13,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc0238,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,M,60-70,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916; EvansCOMMA Francis AlgernonCOMMA 1878-1946; CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937; EvansCOMMA Eleanor Tyson StokesCOMMA 1840-1919; ScattergoodCOMMA Mary Cope EmlenCOMMA 1878-1975,,Health; Weather,,Woodbourne (Susquehanna CountyCOMMA Pa.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14532,14532,12663.cpd
1886 October 16COMMA PhiladaCOMMA to Lillie,1886-10-16,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc0237,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937,M,60-70,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937,,Railroad travel; Deeds,Philadelphia (Pa.); Montrose (Susquehanna CountyCOMMA Pa.); Wilkes-Barre (Pa.),Philadelphia (Pa.),,Carrew Co. watermark.,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14537,14537,12668.cpd
1886 July 27COMMA AwburyCOMMA to Lillie,1886-07-27,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc0236,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937,M,60-70,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937; DrinkerCOMMA FrancesCOMMA b. 1841; EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939; YarnallCOMMA Francis CopeCOMMA 1830-1890,Joe Drinker; Aunt Catharine; Amy,FinanceCOMMA Personal; Friends' Asylum for the Insane; House construction; Weather; Photography,Germantown (PhiladelphiaCOMMA Pa.),Germantown (PhiladelphiaCOMMA Pa.),,Carrew Co. watermark.,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14542,14542,12673.cpd
1886 July 23COMMA AwburyCOMMA to Anna,1886-07-23,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc0235,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,M,60-70,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916; CopeCOMMA Thomas P. (Thomas Pim)COMMA 1852-1944; EvansCOMMA JonathanCOMMA 1843-1911; CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937; EvansCOMMA Eleanor Tyson StokesCOMMA 1840-1919,Aunt E; the Lewises,Health; Voyages and Travels,Germantown (PhiladelphiaCOMMA Pa.),Germantown (PhiladelphiaCOMMA Pa.),,Carrew Co. watermark.,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14547,14547,12678.cpd
1886 July 17COMMA PhiladaCOMMA to Lillie,1886-07-17,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc0234,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937,M,60-70,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937,McCarty; Joseph Whitall,Horses; House construction; Society of Friends,Philadelphia (Pa.),Philadelphia (Pa.),,Carrew Co. watermark.,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14551,14551,12682.cpd
1885 August 11COMMA PhiladaCOMMA to Lillie,1885-08-11,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc0233,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937,M,60-70,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937; CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916; StorkCOMMA Anna Brown CopeCOMMA b. 1862,Miles,House construction; Voyages and Travels; Health,Philadelphia (Pa.); Newport (R.I.),Philadelphia (Pa.),,Carrew Co. watermark. Allusion to poem by William Wordsworth (1170-1850),English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14554,14554,12685.cpd
1885 August 10COMMA AwburyCOMMA to Lillie,1885-08-10,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc0232,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937,M,60-70,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937; HainesCOMMA Mary D. (Mary Drinker Cope)COMMA 1819-1890; StorkCOMMA Anna Brown CopeCOMMA b. 1862,Robinson; Miles,Farmers; Health; Weather,Germantown (PhiladelphiaCOMMA Pa.); Newport (R.I.); Woodbourne (Susquehanna CountyCOMMA Pa.),Germantown (PhiladelphiaCOMMA Pa.),,Carrew Co. watermark.,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14559,14559,12690.cpd
1885 August 1COMMA PhiladaCOMMA to Lillie,1885-08-01,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc0231,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937,M,60-70,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937,,FinanceCOMMA Personal; Health,Philadelphia (Pa.),Philadelphia (Pa.),,Carrew Co. watermark.,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14564,14564,12695.cpd
1884 September 26COMMA PhiladaCOMMA to Lillie,1884-09-26,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc0230,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937,M,60-70,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937; YarnallCOMMA Francis CopeCOMMA 1830-1890; CopeCOMMA Thomas P. (Thomas Pim)COMMA 1852-1944; CopeCOMMA Francis HazenCOMMA 1859-1909; AldersonCOMMA Eleanor Tyson Yarnall,Cousin Mary; James M. Chase,Education; Postal service; Shipping,Philadelphia (Pa.); Susquehanna County (Pa.),Philadelphia (Pa.),,Carrew Co. watermark.,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14569,14569,12700.cpd
1884 September 12COMMA PhiladaCOMMA to Lillie,1884-09-12,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc0229,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937,M,60-70,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937,,FinanceCOMMA personal,Philadelphia (Pa.),Philadelphia (Pa.),,Standard Linen watermark.,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14573,14573,12704.cpd
1884 August 14COMMA MagnoliaCOMMA to Lillie,1884-08-14,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc0228,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937,M,60-70,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937,Miles,Education; Weather; Games; Libraries--GiftsCOMMA legacies; Book donations,Magnolia (GloucesterCOMMA Mass.); AnnCOMMA Cape (Mass.),Magnolia (GloucesterCOMMA Mass.),,"Hotel stationery -- """"The Crescent Beach House"""".",English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14578,14578,12709.cpd
1884 August 12COMMA MagnoliaCOMMA to Lillie,1884-08-12,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc0227,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937,M,60-70,CopeCOMMA Francis R. (Francis Reeve)COMMA 1878-1962; CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937; CopeCOMMA AlfredCOMMA 1857-1897; CopeCOMMA Francis HazenCOMMA 1859-1909; CopeCOMMA AnnetteCOMMA 1843-1916; CopeCOMMA Caroline E. (Caroline Elizabeth)COMMA 1840-1944; CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,Madgie Newlin,Birthday parties; Voyages and Travels; Nature; Carriages and carts,Magnolia (GloucesterCOMMA Mass.); Newport (R.I.),Magnolia (GloucesterCOMMA Mass.),,Standard Linen watermark.,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14583,14583,12714.cpd
1884 August 6COMMA AwburyCOMMA to Lillie,1884-08-06,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc0226,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937,M,60-70,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937,,FinanceCOMMA Personal; Food habits; Real property--Valuation; Property tax,Germantown (PhiladelphiaCOMMA Pa.),Germantown (PhiladelphiaCOMMA Pa.),,Standard Linen watermark.,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14587,14587,12718.cpd
1884 July 14COMMA PhiladaCOMMA to Lillie,1884-07-14,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc0225,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937,M,60-70,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937; EvansCOMMA Anna CopeCOMMA 1875-1967; EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939,Miles,God; Health; Faith; Dwellings--Maintenance and repair; Insurance; Lightning rods,Philadelphia (Pa.),Philadelphia (Pa.),,Standard Linen watermark.,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14592,14592,12723.cpd
